state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   2.469  0.057  0.953  0.167  0.047  0.834
2Sing?Sym   3.254  0.744  0.590  0.653  0.426  0.362
3Sing?Sym   3.461  0.072  0.597  0.308  0.417  0.706
4Sing?Sym   3.525  0.084  0.683  0.234  0.328  0.776
5Sing?Sym   3.577  0.084  0.220  0.817  0.782  0.185
6Sing?Sym   3.687  0.001  0.252  0.099  0.749  0.901
7Sing?Sym   3.892  0.001  0.807  0.032  0.192  0.968
8Sing?Sym   4.027  0.001  0.939  0.661  0.061  0.339
9Sing?Sym   4.125  0.000  0.280  0.040  0.720  0.960
10Sing?Sym  4.306  0.008  0.095  0.141  0.907  0.861
11Sing?Sym  4.411  0.074  0.354  0.166  0.649  0.838
12Sing?Sym  4.508  0.192  0.193  0.160  0.817  0.850
13Sing?Sym  4.601  0.009  0.828  0.512  0.172  0.488
14Sing?Sym  4.674  0.004  0.516  0.571  0.484  0.429
15Sing?Sym  4.720  0.006  0.662  0.839  0.339  0.163
16Sing?Sym  4.781  0.006  0.831  0.665  0.169  0.335
17Sing?Sym  4.845  0.007  0.778  0.337  0.222  0.663
18Sing?Sym  4.901  0.002  0.365  0.212  0.635  0.788
19Sing?Sym  5.016  0.058  0.522  0.725  0.480  0.277
20Sing?Sym  5.030  0.015  0.757  0.373  0.243  0.628
