state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.000  0.000  1.000  1.620  1.163  0.965  1.141  0.759  1.000  1.002 12.661
2Sing?Sym   2.214  0.961  1.030  1.992  1.025  0.009  1.007  0.002  1.075  1.212  5.273
3Sing?Sym   2.649  0.182  1.002  1.608  1.323  0.888  1.327  0.714  1.015  1.052 11.216
4Sing?Sym   2.693  0.006  1.000  1.630  1.189  0.955  1.163  0.736  1.093  1.209 12.883
5Sing?Sym   2.802  0.001  1.000  1.849  1.675  0.844  1.406  0.301  1.093  1.213  9.853
6Sing?Sym   3.020  0.000  1.000  1.746  1.507  0.514  1.338  0.508  1.000  1.002 11.621
7Sing?Sym   3.118  0.001  1.000  2.003  1.019  0.017  1.017 -0.008  1.058  1.169  6.264
8Sing?Sym   3.128  0.000  1.000  2.017  1.089  0.081  1.083 -0.033  1.061  1.171  6.359
9Sing?Sym   3.200  0.641  1.024  1.286  1.525  0.326  1.471  0.062  1.082  1.260  5.719
10Sing?Sym  3.221  0.000  1.001  1.998  1.007  0.007  1.007  0.001  1.196  1.407  4.869
11Sing?Sym  3.242  0.000  1.000  1.619  1.169  0.960  1.147  0.754  1.005  1.019 12.221
12Sing?Sym  3.299  0.000  1.000  1.988  1.049  0.047  1.047  0.022  1.087  1.233  6.537
13Sing?Sym  3.331  0.000  1.000  1.911  1.451  0.343  1.412  0.154  1.966  2.052  8.025
14Sing?Sym  3.341  0.000  1.000  1.810  1.715  0.583  1.460  0.368  1.740  1.911 10.098
15Sing?Sym  3.382  0.000  1.000  1.683  1.323  0.889  1.245  0.634  1.019  1.061 12.744
16Sing?Sym  3.407  0.000  1.000  1.997  1.013  0.011  1.011  0.003  1.949  2.016  6.247
17Sing?Sym  3.449  0.009  1.001  1.999  1.006  0.006  1.006 -0.000  1.175  1.378  5.632
18Sing?Sym  3.556  0.003  1.000  2.013  1.063  0.059  1.061 -0.025  1.099  1.259  5.974
19Sing?Sym  3.600  0.039  1.002  1.997  1.085  0.078  1.080  0.001  1.459  1.741  5.390
20Sing?Sym  3.730  0.024  1.001  1.999  1.003  0.003  1.003 -0.001  1.558  1.768  6.200
