state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   3.143  1.050  0.739  0.654  0.276  0.361
2Sing?Sym   3.877  0.024  0.045  0.606  0.957  0.396
3Sing?Sym   4.114  0.000  0.644  0.714  0.356  0.286
4Sing?Sym   4.116  0.000  0.743  0.397  0.257  0.603
5Sing?Sym   4.448  0.006  0.534  0.723  0.476  0.287
6Sing?Sym   4.543  0.032  0.902  0.628  0.102  0.376
7Sing?Sym   4.568  0.000  0.096  0.589  0.905  0.411
8Sing?Sym   4.596  0.029  0.663  0.162  0.338  0.840
9Sing?Sym   4.693  0.036  0.596  0.642  0.410  0.364
10Sing?Sym  4.905  0.000  0.754  0.703  0.246  0.297
11Sing?Sym  5.093  0.000  0.041  0.298  0.959  0.701
12Sing?Sym  5.100  0.012  0.720  0.504  0.280  0.496
13Sing?Sym  5.293  0.019  0.184  0.568  0.817  0.433
14Sing?Sym  5.345  0.047  0.646  0.685  0.357  0.318
15Sing?Sym  5.479  0.017  0.666  0.634  0.338  0.370
16Sing?Sym  5.506  0.000  0.512  0.396  0.488  0.604
17Sing?Sym  5.517  0.009  0.400  0.504  0.602  0.497
18Sing?Sym  5.596  0.000  0.765  0.560  0.235  0.440
19Sing?Sym  5.678  0.000  0.497  0.404  0.503  0.596
20Sing?Sym  5.680  0.003  0.162  0.641  0.841  0.362
