state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.565  0.627  1.004  1.557  1.557  0.623  1.555  0.532  1.014  1.052  8.065
2Sing?Sym   3.110  0.411  1.002  1.542  1.962  0.548  1.944 -0.113  1.891  2.016  7.616
3Sing?Sym   3.414  0.293  1.015  1.566  1.962  0.201  1.459  0.044  2.199  2.554  5.170
4Sing?Sym   3.486  0.006  1.000  1.771  1.541  0.343  1.476  0.190  1.655  1.894  6.137
5Sing?Sym   3.723  0.099  1.000  1.566  1.936  0.623  1.830 -0.129  1.504  1.915  8.500
6Sing?Sym   3.806  0.004  1.000  1.508  1.996  0.425  1.952  0.043  1.339  1.705  6.335
7Sing?Sym   3.851  0.040  1.001  1.264  1.630  0.286  1.480 -0.117  1.355  1.726  5.579
8Sing?Sym   3.905  0.022  1.002  1.611  1.791  0.519  1.768  0.286  2.242  2.593  7.807
9Sing?Sym   4.004  0.008  1.000  1.568  1.731  0.505  1.738  0.382  2.045  2.499  7.963
10Sing?Sym  4.170  0.007  1.000  1.709  1.636  0.459  1.561  0.324  1.206  1.455  5.153
11Sing?Sym  4.176  0.004  1.003  1.407  1.920  0.421  1.876  0.089  1.850  2.453  6.929
12Sing?Sym  4.328  0.012  1.000  1.540  1.546  0.671  1.507  0.541  1.737  2.125  6.569
13Sing?Sym  4.375  0.027  1.001  1.694  1.716  0.452  1.700  0.176  2.021  2.254  6.796
14Sing?Sym  4.429  0.120  1.004  1.579  1.856  0.558  1.828  0.240  2.325  2.965  7.821
15Sing?Sym  4.454  0.025  1.003  1.546  1.814  0.607  1.754  0.312  1.935  2.602  7.827
16Sing?Sym  4.576  0.006  1.000  1.389  1.884  0.642  1.755  0.122  2.733  3.079  9.563
17Sing?Sym  4.583  0.022  1.002  1.406  1.923  0.460  1.913 -0.071  2.536  3.268  7.561
18Sing?Sym  4.609  0.010  1.000  1.394  1.878  0.717  1.606  0.156  2.246  2.534  9.796
19Sing?Sym  4.688  0.011  1.000  1.429  1.959  0.427  1.920  0.035  1.504  2.064  5.836
20Sing?Sym  4.728  0.018  1.000  1.510  1.776  0.543  1.788 -0.354  1.663  2.289  8.237
