state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.088  0.000  0.848  0.000  0.003  0.998  0.149  0.002
2Sing?Sym   1.909  0.001  0.337  0.000  0.058  0.998  0.605  0.002
3Sing?Sym   2.209  1.062  0.005  0.003  1.018  1.018  0.007  0.009
4Sing?Sym   2.462  0.000  0.590  0.000  0.069  0.998  0.341  0.002
5Sing?Sym   2.715  0.642  0.832  0.168  0.010  0.565  0.160  0.268
6Sing?Sym   2.770  0.002  0.847  0.001  0.003  0.993  0.150  0.007
7Sing?Sym   2.850  0.000  0.001  0.000  0.348  0.997  0.651  0.003
8Sing?Sym   2.940  0.951  0.855  0.441  0.006  0.362  0.142  0.200
9Sing?Sym   2.970  0.000  0.932  0.000  0.007  0.998  0.061  0.002
10Sing?Sym  3.000  0.000  0.856  0.000  0.016  0.998  0.127  0.002
11Sing?Sym  3.064  0.000  0.987  0.000  0.001  0.998  0.011  0.002
12Sing?Sym  3.123  0.000  0.001  0.000  0.999  0.999  0.001  0.001
13Sing?Sym  3.129  0.000  0.037  0.000  0.838  0.995  0.125  0.005
14Sing?Sym  3.188  0.000  0.401  0.000  0.124  0.998  0.475  0.002
15Sing?Sym  3.199  0.000  0.074  0.000  0.037  0.998  0.889  0.002
16Sing?Sym  3.241  0.000  0.006  0.000  0.923  0.996  0.072  0.004
17Sing?Sym  3.304  0.000  0.002  0.000  0.992  0.998  0.007  0.001
18Sing?Sym  3.331  0.000  0.849  0.000  0.003  0.997  0.148  0.003
19Sing?Sym  3.350  0.000  0.001  0.005  0.992  0.919  0.007  0.076
20Sing?Sym  3.386  0.000  0.000  0.000  0.989  0.995  0.011  0.004
