state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   3.547  0.880  1.014  1.394  1.914  0.464  1.908  0.015  1.039  1.137  4.487
2Sing?Sym   3.910  0.007  1.004  1.596  1.741  0.543  1.718 -0.358  1.088  1.242  4.807
3Sing?Sym   4.094  0.061  1.005  1.476  1.959  0.499  1.959 -0.138  1.083  1.244  4.742
4Sing?Sym   4.433  0.000  1.000  1.511  1.809  0.541  1.815  0.324  1.014  1.050  4.097
5Sing?Sym   4.596  0.003  1.001  1.404  1.924  0.556  1.903 -0.058  1.579  1.843  5.679
6Sing?Sym   4.619  0.000  1.001  1.668  1.587  0.555  1.498 -0.473  1.009  1.034  3.466
7Sing?Sym   4.855  0.021  1.003  1.702  1.618  0.538  1.523  0.383  1.411  1.749  5.262
8Sing?Sym   5.017  0.000  1.000  1.695  1.734  0.393  1.704 -0.039  1.085  1.211  3.755
9Sing?Sym   5.090  0.018  1.008  1.376  1.874  0.340  1.721 -0.087  1.882  2.513  4.202
10Sing?Sym  5.155  0.000  1.000  1.182  1.427  0.274  1.352 -0.168  1.076  1.181  4.222
11Sing?Sym  5.208  0.000  1.000  1.673  1.786  0.394  1.742 -0.030  1.170  1.387  3.838
12Sing?Sym  5.330  0.000  1.001  1.452  1.938  0.442  1.913  0.154  2.223  2.594  4.530
13Sing?Sym  5.531  0.063  1.002  1.546  1.971  0.543  1.956 -0.082  1.410  1.865  5.591
14Sing?Sym  5.598  0.032  1.005  1.558  1.972  0.320  1.751 -0.026  3.341  3.882  3.967
15Sing?Sym  5.619  0.000  1.000  1.473  1.944  0.425  1.904  0.162  2.713  2.874  3.142
16Sing?Sym  5.678  0.000  1.000  1.255  1.610  0.343  1.560 -0.078  1.480  1.846  3.125
17Sing?Sym  5.689  0.020  1.002  1.462  1.983  0.516  1.981 -0.052  1.974  2.695  5.190
18Sing?Sym  5.740  0.011  1.002  1.642  1.795  0.558  1.756 -0.218  2.717  3.528  5.155
19Sing?Sym  5.773  0.064  1.002  1.626  1.835  0.660  1.680  0.186  2.352  2.945  6.622
20Sing?Sym  5.918  0.185  1.007  1.722  1.670  0.369  1.631  0.061  2.713  3.519  4.710
