state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   2.973  0.004  0.535  0.829  0.466  0.172
2Sing?Sym   3.376  0.037  0.704  0.607  0.303  0.400
3Sing?Sym   3.415  0.029  0.869  0.878  0.145  0.136
4Sing?Sym   3.562  1.592  0.396  0.501  0.621  0.516
5Sing?Sym   4.041  0.018  0.504  0.956  0.496  0.045
6Sing?Sym   4.076  0.004  0.883  0.988  0.117  0.012
7Sing?Sym   4.222  0.041  0.372  0.424  0.633  0.582
8Sing?Sym   4.287  0.013  0.836  0.781  0.165  0.220
9Sing?Sym   4.386  0.001  0.945  0.945  0.057  0.056
10Sing?Sym  4.409  0.003  0.412  0.951  0.589  0.049
11Sing?Sym  4.541  0.006  0.366  0.422  0.635  0.579
12Sing?Sym  4.580  0.000  0.206  0.531  0.794  0.469
13Sing?Sym  4.648  0.000  0.183  0.089  0.817  0.911
14Sing?Sym  4.748  0.154  0.869  0.746  0.140  0.263
15Sing?Sym  4.814  0.011  0.903  0.494  0.098  0.508
16Sing?Sym  4.970  0.002  0.961  0.952  0.039  0.048
17Sing?Sym  4.977  0.000  0.971  0.566  0.029  0.434
18Sing?Sym  5.050  0.141  0.583  0.395  0.430  0.618
19Sing?Sym  5.134  0.000  0.946  0.074  0.054  0.926
20Sing?Sym  5.163  0.010  0.490  0.844  0.511  0.157
