state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   3.227  0.066  1.001  1.525  1.863  0.741  1.589 -0.742  1.342  1.545  8.365
2Sing?Sym   3.305  0.159  1.003  1.395  1.780  0.486  1.801  0.341  1.325  1.548  6.765
3Sing?Sym   3.407  0.169  1.008  1.273  1.488  0.378  1.585  0.041  1.373  1.700  6.404
4Sing?Sym   3.561  0.066  1.004  1.440  1.929  0.638  1.538  0.772  1.191  1.418  7.883
5Sing?Sym   3.639  0.058  1.002  1.980  1.957  0.838  1.883 -0.347  1.119  1.296  6.848
6Sing?Sym   3.750  0.686  1.010  2.180  2.098  0.507  1.993  0.111  1.092  1.278  4.871
7Sing?Sym   3.962  0.138  1.009  1.456  1.703  0.439  1.708  0.050  1.952  2.239  5.880
8Sing?Sym   4.072  0.010  1.001  1.240  1.293  0.235  1.257  0.321  1.261  1.517  3.804
9Sing?Sym   4.129  0.002  1.000  1.825  1.719  0.894  1.684 -1.081  1.034  1.112  9.529
10Sing?Sym  4.170  0.280  1.003  1.837  2.475  0.746  2.345  0.362  1.328  1.725  6.940
11Sing?Sym  4.339  0.066  1.004  2.184  2.343  0.591  2.260 -0.304  1.071  1.223  6.007
12Sing?Sym  4.358  0.003  1.002  1.271  1.329  0.262  1.288 -0.374  1.214  1.433  3.579
13Sing?Sym  4.461  0.578  1.003  2.018  2.839  0.547  2.227  0.227  2.126  2.386  4.807
14Sing?Sym  4.537  0.386  1.006  1.919  2.922  0.529  2.462  0.133  2.494  3.038  5.329
15Sing?Sym  4.566  0.010  1.000  2.094  2.142  0.791  2.122 -0.578  1.039  1.129  7.505
16Sing?Sym  4.616  0.012  1.000  1.531  1.912  0.527  1.786  0.442  1.974  2.486  6.447
17Sing?Sym  4.675  0.001  1.000  1.762  1.758  0.850  1.745 -0.671  1.081  1.210  9.159
18Sing?Sym  4.698  0.000  1.000  2.073  1.271  0.205  1.243 -0.099  1.025  1.085  4.015
19Sing?Sym  4.773  0.025  1.000  1.543  2.082  0.704  1.809  0.477  1.961  2.312  8.122
20Sing?Sym  4.845  0.006  1.000  2.099  2.583  0.538  2.244  0.023  2.463  3.207  5.397
