state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   0.091  0.013  4.397  1.716  1.603  0.820  1.528 -0.423  1.002  0.002 12.582
2Sing?Sym   0.158  0.000  1.183  1.922  1.301  0.224  1.290 -0.007  1.073  1.003  7.754
3Sing?Sym   0.276  0.000  1.042  1.910  1.116  0.023  1.025 -0.002  1.076  1.148  3.732
4Sing?Sym   0.299  0.005  1.138  1.917  1.379  0.242  1.319  0.027  1.329  1.469  9.345
5Sing?Sym   0.309  0.001  1.092  1.891  1.508  0.347  1.363 -0.170  1.741  2.197 10.658
6Sing?Sym   0.396  0.001  1.044  1.794  1.812  0.624  1.451 -0.348  1.716  1.932 14.511
7Sing?Sym   0.533  0.019  1.102  1.936  1.230  0.109  1.121  0.031  1.113  1.184  6.355
8Sing?Sym   0.555  0.000  1.025  1.871  1.610  0.397  1.415 -0.197  2.142  2.739 10.860
9Sing?Sym   0.594  0.002  1.004  1.757  1.741  0.730  1.447 -0.412  1.394  1.818 12.513
10Sing?Sym  0.608  0.003  1.058  1.925  1.288  0.155  1.176 -0.003  1.261  1.479  7.757
11Sing?Sym  0.663  0.000  1.022  1.873  1.590  0.395  1.391 -0.207  1.568  2.036 11.550
12Sing?Sym  0.755  0.000  1.006  1.955  1.078  0.029  1.031  0.014  1.960  2.278  6.534
13Sing?Sym  0.798  0.001  1.003  1.921  1.198  0.130  1.152  0.029  1.520  1.955  9.057
14Sing?Sym  0.840  0.005  1.005  1.966  1.127  0.062  1.065  0.040  1.152  1.350  8.111
15Sing?Sym  0.846  0.000  1.003  1.778  1.692  0.750  1.421 -0.419  1.352  1.643 13.681
16Sing?Sym  1.003  0.001  1.010  1.931  1.210  0.101  1.114  0.083  1.018  1.056  3.934
17Sing?Sym  1.006  0.004  1.015  1.824  1.839  0.536  1.524 -0.312  2.160  2.524 11.919
18Sing?Sym  1.046  0.001  1.002  1.932  1.177  0.110  1.112 -0.067  1.274  1.510  7.225
19Sing?Sym  1.061  0.017  1.055  1.885  1.539  0.364  1.415 -0.176  2.186  2.634  9.758
20Sing?Sym  1.141  0.015  1.005  1.972  1.142  0.074  1.078  0.051  1.064  1.170  8.292
