state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   1.738  0.016  0.235  0.946  0.768  0.056
2Sing?Sym   2.139  0.030  0.276  0.025  0.731  0.981
3Sing?Sym   2.710  0.116  0.287  0.629  0.717  0.374
4Sing?Sym   2.890  0.088  0.218  0.084  0.788  0.921
5Sing?Sym   2.927  0.000  0.199  0.104  0.801  0.895
6Sing?Sym   2.933  0.664  0.886  0.843  0.132  0.175
7Sing?Sym   3.055  0.000  0.194  0.040  0.806  0.960
8Sing?Sym   3.086  0.008  0.272  0.817  0.729  0.183
9Sing?Sym   3.107  0.000  0.717  0.911  0.284  0.090
10Sing?Sym  3.234  0.000  0.247  0.887  0.753  0.113
11Sing?Sym  3.257  0.004  0.830  0.136  0.171  0.864
12Sing?Sym  3.388  0.079  0.357  0.329  0.649  0.677
13Sing?Sym  3.489  0.000  0.415  0.895  0.587  0.107
14Sing?Sym  3.608  0.000  0.938  0.855  0.062  0.145
15Sing?Sym  3.622  0.000  0.377  0.887  0.622  0.113
16Sing?Sym  3.662  0.000  0.249  0.892  0.751  0.108
17Sing?Sym  3.693  0.000  0.853  0.938  0.147  0.062
18Sing?Sym  3.727  0.000  0.304  0.878  0.697  0.123
19Sing?Sym  3.765  0.000  0.812  0.933  0.191  0.071
20Sing?Sym  3.876  0.019  0.761  0.704  0.249  0.306
