state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   2.920  0.662  0.746  0.273  0.260  0.733
2Sing?Sym   3.416  0.162  0.373  0.376  0.628  0.626
3Sing?Sym   3.600  0.047  0.408  0.250  0.593  0.751
4Sing?Sym   3.794  0.155  0.478  0.468  0.536  0.545
5Sing?Sym   4.014  0.025  0.561  0.178  0.440  0.824
6Sing?Sym   4.103  0.007  0.448  0.071  0.552  0.929
7Sing?Sym   4.272  0.110  0.477  0.636  0.527  0.368
8Sing?Sym   4.420  0.038  0.209  0.270  0.792  0.731
9Sing?Sym   4.467  0.010  0.468  0.328  0.533  0.672
10Sing?Sym  4.502  0.028  0.542  0.446  0.460  0.555
11Sing?Sym  4.514  0.079  0.343  0.328  0.662  0.676
12Sing?Sym  4.637  0.015  0.769  0.390  0.232  0.611
13Sing?Sym  4.670  0.006  0.706  0.397  0.294  0.603
14Sing?Sym  4.789  0.004  0.480  0.170  0.520  0.831
15Sing?Sym  4.887  0.091  0.195  0.491  0.808  0.511
16Sing?Sym  5.012  0.028  0.700  0.370  0.301  0.631
17Sing?Sym  5.045  0.005  0.559  0.579  0.442  0.421
18Sing?Sym  5.169  0.028  0.463  0.531  0.538  0.470
19Sing?Sym  5.201  0.016  0.219  0.188  0.781  0.812
20Sing?Sym  5.233  0.037  0.815  0.583  0.186  0.418
