state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   3.010  0.876  1.003  1.763  2.188  0.718  2.206  0.487  1.016  1.061  8.217
2Sing?Sym   3.336  0.324  1.001  1.805  2.760  0.774  2.361  0.101  1.918  2.011  8.679
3Sing?Sym   3.552  0.184  1.013  1.747  2.681  0.378  1.811  0.159  2.013  2.415  5.169
4Sing?Sym   3.659  0.015  1.000  2.038  1.421  0.290  1.391  0.048  2.044  2.196  5.098
5Sing?Sym   3.775  0.159  1.003  1.915  2.255  0.626  2.204 -0.114  1.219  1.457  8.081
6Sing?Sym   4.039  0.015  1.001  1.816  1.901  0.784  1.882  0.656  1.456  1.897  8.548
7Sing?Sym   4.116  0.009  1.000  1.983  2.363  0.753  2.322  0.690  1.398  1.810  7.090
8Sing?Sym   4.204  0.001  1.000  1.722  2.625  0.496  2.309  0.141  1.621  2.129  6.033
9Sing?Sym   4.286  0.007  1.000  1.821  2.553  0.367  1.671  0.135  2.192  2.612  5.166
10Sing?Sym  4.389  0.121  1.005  1.923  2.174  0.604  1.975 -0.092  2.203  2.737  7.490
11Sing?Sym  4.497  0.003  1.000  1.980  1.657  0.296  1.413  0.141  1.423  1.800  4.802
12Sing?Sym  4.518  0.004  1.000  1.710  2.467  0.436  1.865  0.292  2.052  2.624  4.891
13Sing?Sym  4.547  0.009  1.000  2.029  2.538  0.764  2.338  0.418  2.626  3.161  7.963
14Sing?Sym  4.595  0.107  1.002  1.970  2.543  0.664  2.586  0.162  3.171  3.645  7.669
15Sing?Sym  4.629  0.046  1.002  1.933  2.686  0.578  2.564 -0.119  2.914  3.397  7.252
16Sing?Sym  4.673  0.018  1.001  1.781  2.562  0.712  2.466  0.195  2.566  3.009  8.411
17Sing?Sym  4.691  0.027  1.004  1.948  2.431  0.566  2.358  0.049  2.292  3.167  7.095
18Sing?Sym  4.751  0.015  1.000  2.016  2.725  0.672  2.723 -0.153  2.466  2.975  7.607
19Sing?Sym  4.761  0.015  1.000  1.653  2.305  0.606  2.177  0.426  2.089  2.637  7.796
20Sing?Sym  4.800  0.009  1.001  1.872  2.665  0.618  2.522 -0.079  2.139  2.832  6.700
