state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.423  0.000  0.837  0.000  0.012  0.998  0.151  0.002
2Sing?Sym   2.401  0.911  0.004  0.003  1.015  1.015  0.003  0.004
3Sing?Sym   2.943  0.000  0.533  0.000  0.188  0.997  0.279  0.003
4Sing?Sym   3.024  0.000  0.763  0.000  0.053  0.996  0.184  0.004
5Sing?Sym   3.060  0.000  0.587  0.000  0.051  0.998  0.362  0.002
6Sing?Sym   3.123  0.021  0.833  0.009  0.013  0.945  0.153  0.046
7Sing?Sym   3.175  0.000  0.272  0.000  0.240  0.998  0.488  0.002
8Sing?Sym   3.209  0.000  0.149  0.000  0.643  0.997  0.208  0.003
9Sing?Sym   3.219  0.000  0.003  0.000  0.994  0.999  0.003  0.001
10Sing?Sym  3.242  0.000  0.607  0.000  0.095  0.998  0.297  0.002
11Sing?Sym  3.369  0.000  0.000  0.000  0.998  1.000  0.003  0.002
12Sing?Sym  3.412  0.935  0.849  0.653  0.022  0.055  0.140  0.303
13Sing?Sym  3.456  0.000  0.003  0.000  0.977  0.999  0.020  0.001
14Sing?Sym  3.476  0.000  0.000  0.000  1.000  0.999  0.000  0.001
15Sing?Sym  3.499  0.000  0.839  0.000  0.012  0.996  0.149  0.004
16Sing?Sym  3.551  0.001  0.001  0.001  0.995  0.996  0.004  0.003
17Sing?Sym  3.575  0.008  0.014  0.000  0.871  0.996  0.116  0.006
18Sing?Sym  3.595  0.004  0.007  0.001  0.933  0.971  0.061  0.028
19Sing?Sym  3.706  0.000  0.002  0.000  0.926  0.994  0.072  0.006
20Sing?Sym  3.790  0.041  0.002  0.000  0.987  1.000  0.013  0.002
