state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   3.143  1.050  1.016  1.314  1.751  0.418  1.733  0.084  1.033  1.114  4.903
2Sing?Sym   3.877  0.024  1.002  1.675  1.505  0.611  1.383 -0.560  1.128  1.299  5.697
3Sing?Sym   4.114  0.000  1.000  1.321  1.769  0.512  1.785 -0.070  2.007  2.046  6.466
4Sing?Sym   4.116  0.000  1.000  1.430  1.769  0.534  1.763  0.346  1.019  1.062  4.500
5Sing?Sym   4.448  0.006  1.010  1.378  1.839  0.359  1.714 -0.188  2.003  2.367  4.082
6Sing?Sym   4.543  0.032  1.004  1.238  1.552  0.354  1.445  0.273  1.376  1.721  5.434
7Sing?Sym   4.568  0.000  1.000  1.658  1.574  0.571  1.490 -0.494  1.006  1.022  3.972
8Sing?Sym   4.596  0.029  1.002  1.588  1.591  0.632  1.541  0.500  1.578  1.951  6.421
9Sing?Sym   4.693  0.036  1.006  1.385  1.896  0.459  1.889 -0.046  1.581  1.931  4.534
10Sing?Sym  4.905  0.000  1.000  1.271  1.652  0.303  1.533  0.051  1.166  1.322  4.551
11Sing?Sym  5.093  0.000  1.000  1.830  1.403  0.300  1.316 -0.258  1.040  1.119  3.956
12Sing?Sym  5.100  0.012  1.000  1.388  1.838  0.477  1.821  0.216  1.761  2.164  5.645
13Sing?Sym  5.293  0.019  1.001  1.625  1.696  0.693  1.504 -0.384  1.623  2.034  6.691
14Sing?Sym  5.345  0.047  1.003  1.336  1.805  0.304  1.616 -0.039  1.820  2.480  5.031
15Sing?Sym  5.479  0.017  1.004  1.352  1.838  0.463  1.841  0.032  2.138  2.928  6.137
16Sing?Sym  5.506  0.000  1.000  1.546  1.958  0.479  1.954  0.116  1.387  1.605  4.931
17Sing?Sym  5.517  0.009  1.002  1.549  1.961  0.508  1.960 -0.104  2.466  3.237  6.153
18Sing?Sym  5.596  0.000  1.000  1.338  1.767  0.446  1.733  0.205  1.271  1.473  4.596
19Sing?Sym  5.678  0.000  1.000  1.549  1.964  0.487  1.962  0.094  1.116  1.303  3.295
20Sing?Sym  5.680  0.003  1.003  1.600  1.613  0.525  1.611 -0.478  2.095  2.866  4.853
