state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.858  1.465  0.635  0.474  0.336  0.345  0.048  0.199
2Sing?Sym   3.650  0.011  0.290  0.437  0.698  0.364  0.014  0.201
3Sing?Sym   3.706  0.003  0.475  0.512  0.455  0.322  0.070  0.167
4Sing?Sym   4.132  0.022  0.499  0.615  0.420  0.273  0.096  0.126
5Sing?Sym   4.323  0.000  0.158  0.342  0.828  0.446  0.015  0.212
6Sing?Sym   4.334  0.057  0.707  0.459  0.039  0.340  0.257  0.205
7Sing?Sym   4.391  0.000  0.713  0.621  0.253  0.038  0.034  0.341
8Sing?Sym   4.448  0.013  0.742  0.494  0.024  0.314  0.237  0.195
9Sing?Sym   4.542  0.011  0.489  0.125  0.456  0.866  0.056  0.010
10Sing?Sym  4.653  0.036  0.612  0.433  0.340  0.458  0.049  0.110
11Sing?Sym  4.668  0.000  0.493  0.549  0.435  0.428  0.072  0.023
12Sing?Sym  4.975  0.022  0.499  0.535  0.435  0.351  0.069  0.116
13Sing?Sym  5.043  0.026  0.395  0.510  0.596  0.424  0.010  0.067
14Sing?Sym  5.144  0.018  0.452  0.480  0.476  0.441  0.081  0.087
15Sing?Sym  5.199  0.032  0.632  0.747  0.308  0.189  0.062  0.066
16Sing?Sym  5.257  0.000  0.721  0.727  0.240  0.034  0.039  0.240
17Sing?Sym  5.380  0.009  0.412  0.445  0.563  0.390  0.026  0.167
18Sing?Sym  5.393  0.000  0.370  0.548  0.630  0.438  0.000  0.014
19Sing?Sym  5.566  0.035  0.408  0.365  0.481  0.545  0.112  0.091
20Sing?Sym  5.586  0.058  0.629  0.592  0.177  0.310  0.196  0.099
