state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   2.564  0.629  0.712  0.178  0.292  0.825
2Sing?Sym   3.109  0.409  0.403  0.515  0.600  0.487
3Sing?Sym   3.414  0.294  0.464  0.418  0.552  0.597
4Sing?Sym   3.485  0.006  0.324  0.134  0.676  0.866
5Sing?Sym   3.724  0.099  0.370  0.498  0.631  0.503
6Sing?Sym   3.805  0.004  0.513  0.470  0.487  0.530
7Sing?Sym   3.850  0.040  0.678  0.796  0.323  0.205
8Sing?Sym   3.905  0.022  0.533  0.247  0.469  0.755
9Sing?Sym   4.004  0.008  0.623  0.242  0.377  0.758
10Sing?Sym  4.169  0.007  0.455  0.129  0.546  0.871
11Sing?Sym  4.175  0.004  0.638  0.549  0.365  0.454
12Sing?Sym  4.328  0.012  0.730  0.189  0.270  0.811
13Sing?Sym  4.375  0.027  0.393  0.219  0.607  0.782
14Sing?Sym  4.429  0.119  0.546  0.303  0.458  0.701
15Sing?Sym  4.454  0.025  0.608  0.299  0.395  0.704
16Sing?Sym  4.576  0.006  0.676  0.549  0.324  0.451
17Sing?Sym  4.583  0.022  0.558  0.630  0.443  0.372
18Sing?Sym  4.609  0.010  0.682  0.530  0.317  0.470
19Sing?Sym  4.688  0.011  0.589  0.554  0.411  0.446
20Sing?Sym  4.728  0.019  0.314  0.667  0.687  0.333
