state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.337  0.000  0.904  0.000  0.000  0.998  0.096  0.002
2Sing?Sym   2.079  0.000  0.065  0.000  0.037  0.998  0.898  0.002
3Sing?Sym   2.401  0.933  0.001  0.001  1.016  1.015  0.005  0.006
4Sing?Sym   2.507  0.000  0.810  0.000  0.004  0.998  0.186  0.002
5Sing?Sym   2.926  0.000  0.903  0.000  0.000  0.996  0.097  0.004
6Sing?Sym   3.015  0.139  0.906  0.087  0.000  0.640  0.094  0.274
7Sing?Sym   3.020  0.000  0.975  0.000  0.000  0.998  0.025  0.002
8Sing?Sym   3.081  0.819  0.905  0.483  0.002  0.268  0.097  0.252
9Sing?Sym   3.102  0.000  0.962  0.000  0.016  0.998  0.022  0.002
10Sing?Sym  3.135  0.000  0.974  0.000  0.017  0.998  0.009  0.002
11Sing?Sym  3.169  0.000  0.039  0.000  0.849  0.996  0.112  0.004
12Sing?Sym  3.213  0.019  0.042  0.013  0.281  0.954  0.677  0.033
13Sing?Sym  3.213  0.000  0.001  0.000  0.980  0.998  0.019  0.002
14Sing?Sym  3.216  0.381  0.825  0.278  0.015  0.141  0.162  0.583
15Sing?Sym  3.367  0.000  0.000  0.000  0.997  1.000  0.004  0.002
16Sing?Sym  3.408  0.000  0.904  0.000  0.000  0.996  0.096  0.004
17Sing?Sym  3.445  0.000  0.002  0.000  0.896  0.999  0.103  0.001
18Sing?Sym  3.469  0.000  0.000  0.000  1.000  0.999  0.000  0.001
19Sing?Sym  3.506  0.001  0.061  0.000  0.398  0.998  0.542  0.002
20Sing?Sym  3.549  0.000  0.000  0.000  0.996  0.997  0.004  0.003
