state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.088  0.000  1.000  1.651  1.176  0.997  1.151  0.701  1.000  1.000 21.420
2Sing?Sym   1.909  0.001  1.000  2.135  1.537  0.941  1.353 -0.266  1.002  1.008 16.318
3Sing?Sym   2.209  1.062  1.030  2.004  1.024  0.009  1.006  0.003  1.066  1.195  5.318
4Sing?Sym   2.462  0.000  1.000  1.877  1.567  0.931  1.365  0.251  1.004  1.015 19.016
5Sing?Sym   2.715  0.642  1.001  1.715  1.893  0.797  1.783  0.772  1.020  1.069 16.401
6Sing?Sym   2.770  0.002  1.000  1.655  1.184  0.995  1.159  0.703  1.002  1.007 21.410
7Sing?Sym   2.850  0.000  1.000  2.327  1.420  0.651  1.299 -0.648  1.006  1.024  8.774
8Sing?Sym   2.940  0.951  1.003  1.525  2.046  0.576  1.777  0.470  1.033  1.112 14.325
9Sing?Sym   2.970  0.000  1.000  1.565  1.075  0.993  1.070  0.874  1.001  1.003 23.118
10Sing?Sym  3.000  0.000  1.000  1.636  1.169  0.983  1.145  0.731  1.002  1.007 18.929
11Sing?Sym  3.064  0.000  1.000  1.513  1.015  0.999  1.015  0.978  1.000  1.001 25.412
12Sing?Sym  3.123  0.000  1.000  2.001  1.002  0.002  1.002  0.001  1.018  1.058  6.305
13Sing?Sym  3.129  0.000  1.000  2.046  1.201  0.166  1.171 -0.082  1.058  1.176  7.895
14Sing?Sym  3.188  0.000  1.000  2.038  1.747  0.875  1.431 -0.072  1.006  1.024 16.288
15Sing?Sym  3.199  0.000  1.000  2.408  1.129  0.962  1.115 -0.812  1.004  1.015 15.753
16Sing?Sym  3.241  0.000  1.001  2.035  1.089  0.082  1.084 -0.061  1.184  1.420  6.122
17Sing?Sym  3.304  0.000  1.000  2.003  1.010  0.010  1.010 -0.004  1.056  1.165  6.373
18Sing?Sym  3.331  0.000  1.000  1.651  1.176  0.996  1.152  0.705  1.001  1.003 21.278
19Sing?Sym  3.350  0.000  1.000  2.038  1.097  0.089  1.092  0.065  1.242  1.473  5.898
20Sing?Sym  3.386  0.000  1.000  2.007  1.015  0.015  1.015 -0.006  1.959  2.015  6.265
