state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   1.009  0.001  0.957  0.002  0.043  0.998
2Sing?Sym   2.201  0.926  0.103  0.012  0.924  1.015
3Sing?Sym   2.267  0.086  0.852  0.004  0.150  0.999
4Sing?Sym   2.604  0.004  0.877  0.004  0.123  0.996
5Sing?Sym   2.682  0.100  0.954  0.053  0.046  0.947
6Sing?Sym   2.715  0.282  0.951  0.127  0.050  0.874
7Sing?Sym   2.834  0.000  0.976  0.002  0.024  0.998
8Sing?Sym   2.974  0.000  0.990  0.002  0.010  0.998
9Sing?Sym   3.134  0.001  0.001  0.001  0.999  0.998
10Sing?Sym  3.215  0.000  0.024  0.004  0.977  0.997
11Sing?Sym  3.249  0.001  0.472  0.005  0.528  0.995
12Sing?Sym  3.256  0.000  0.572  0.005  0.427  0.995
13Sing?Sym  3.309  0.000  0.002  0.002  0.998  0.998
14Sing?Sym  3.352  0.530  0.848  0.692  0.158  0.314
15Sing?Sym  3.362  0.037  0.076  0.135  0.924  0.865
16Sing?Sym  3.401  0.018  0.041  0.031  0.959  0.969
17Sing?Sym  3.451  0.011  0.006  0.003  0.995  0.998
18Sing?Sym  3.538  0.028  0.092  0.006  0.910  0.995
19Sing?Sym  3.609  0.000  0.190  0.009  0.810  0.991
20Sing?Sym  3.737  0.024  0.003  0.003  0.998  0.998
