state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.022  0.000  1.000  1.605  1.141  0.969  1.124  0.788  1.001  1.003 13.837
2Sing?Sym   2.152  0.001  1.000  1.656  1.225  0.950  1.185  0.688  1.006  1.021 14.185
3Sing?Sym   2.208  1.067  1.029  1.988  1.037  0.013  1.010  0.003  1.087  1.239  5.312
4Sing?Sym   2.660  0.469  1.002  1.549  1.420  0.807  1.430  0.659  1.034  1.105 11.858
5Sing?Sym   2.724  0.015  1.000  1.605  1.152  0.961  1.137  0.784  1.013  1.044 13.940
6Sing?Sym   2.894  0.000  1.000  1.509  1.020  0.981  1.020  0.981  1.000  1.001 14.337
7Sing?Sym   2.902  0.000  1.000  1.524  1.036  0.982  1.034  0.951  1.002  1.009 12.581
8Sing?Sym   3.003  0.000  1.000  1.504  1.010  0.992  1.010  0.991  1.000  1.001 17.877
9Sing?Sym   3.116  0.001  1.000  2.000  1.003  0.002  1.002 -0.001  1.023  1.077  6.251
10Sing?Sym  3.149  0.000  1.000  2.024  1.087  0.080  1.082 -0.048  1.027  1.080  6.241
11Sing?Sym  3.218  0.584  1.006  1.391  1.889  0.282  1.537  0.110  1.501  1.912  8.276
12Sing?Sym  3.218  0.122  1.002  1.870  1.356  0.065  1.066  0.023  1.655  2.119  5.772
13Sing?Sym  3.262  0.000  1.000  1.606  1.148  0.964  1.130  0.781  1.004  1.017 13.414
14Sing?Sym  3.290  0.000  1.000  1.983  1.061  0.058  1.059  0.031  1.121  1.299  6.700
15Sing?Sym  3.327  0.000  1.001  1.965  1.171  0.155  1.184  0.006  1.451  1.712  6.556
16Sing?Sym  3.353  0.000  1.000  1.809  1.739  0.659  1.433  0.377  1.159  1.341 10.675
17Sing?Sym  3.405  0.001  1.000  1.998  1.007  0.005  1.005  0.000  1.948  2.020  6.201
18Sing?Sym  3.447  0.010  1.001  1.998  1.011  0.011  1.011  0.003  1.173  1.378  5.697
19Sing?Sym  3.565  0.001  1.000  2.015  1.116  0.103  1.108 -0.030  1.073  1.191  6.189
20Sing?Sym  3.602  0.039  1.002  1.963  1.156  0.134  1.138  0.071  1.456  1.740  6.519
