state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.022  0.000  0.879  0.001  0.031  0.999  0.090  0.001
2Sing?Sym   2.152  0.001  0.819  0.001  0.050  0.998  0.131  0.001
3Sing?Sym   2.208  1.067  0.018  0.013  1.009  1.013  0.003  0.003
4Sing?Sym   2.660  0.469  0.871  0.166  0.044  0.791  0.088  0.045
5Sing?Sym   2.724  0.015  0.877  0.007  0.033  0.990  0.090  0.003
6Sing?Sym   2.894  0.000  0.982  0.001  0.018  0.998  0.000  0.001
7Sing?Sym   2.902  0.000  0.967  0.001  0.017  0.998  0.016  0.001
8Sing?Sym   3.003  0.000  0.992  0.001  0.007  0.999  0.001  0.001
9Sing?Sym   3.116  0.001  0.001  0.001  0.998  0.998  0.001  0.000
10Sing?Sym  3.149  0.000  0.013  0.002  0.925  0.995  0.062  0.003
11Sing?Sym  3.218  0.584  0.733  0.596  0.209  0.372  0.065  0.039
12Sing?Sym  3.218  0.122  0.155  0.128  0.833  0.865  0.014  0.009
13Sing?Sym  3.262  0.000  0.876  0.004  0.033  0.996  0.091  0.000
14Sing?Sym  3.290  0.000  0.043  0.002  0.946  0.996  0.011  0.001
15Sing?Sym  3.327  0.000  0.052  0.061  0.935  0.911  0.014  0.029
16Sing?Sym  3.353  0.000  0.517  0.004  0.345  0.994  0.138  0.002
17Sing?Sym  3.405  0.001  0.002  0.003  0.997  0.996  0.000  0.001
18Sing?Sym  3.447  0.010  0.007  0.001  0.993  0.999  0.002  0.001
19Sing?Sym  3.565  0.001  0.033  0.004  0.904  0.991  0.063  0.004
20Sing?Sym  3.602  0.039  0.102  0.003  0.871  0.997  0.029  0.001
