state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   3.069  0.924  0.567  0.623  0.458  0.402
2Sing?Sym   3.613  0.005  0.078  0.587  0.925  0.416
3Sing?Sym   3.855  0.051  0.593  0.609  0.413  0.397
4Sing?Sym   3.984  0.000  0.599  0.342  0.401  0.658
5Sing?Sym   4.261  0.015  0.616  0.641  0.386  0.361
6Sing?Sym   4.334  0.000  0.090  0.580  0.910  0.421
7Sing?Sym   4.657  0.032  0.476  0.092  0.528  0.912
8Sing?Sym   4.750  0.000  0.674  0.902  0.326  0.098
9Sing?Sym   4.796  0.011  0.565  0.755  0.446  0.256
10Sing?Sym  4.930  0.000  0.149  0.318  0.850  0.682
11Sing?Sym  5.088  0.000  0.408  0.359  0.592  0.641
12Sing?Sym  5.099  0.004  0.608  0.430  0.394  0.572
13Sing?Sym  5.307  0.000  0.594  0.349  0.406  0.651
14Sing?Sym  5.395  0.005  0.509  0.537  0.496  0.468
15Sing?Sym  5.473  0.003  0.206  0.553  0.797  0.450
16Sing?Sym  5.561  0.050  0.246  0.602  0.756  0.400
17Sing?Sym  5.628  0.000  0.667  0.678  0.333  0.322
18Sing?Sym  5.664  0.000  0.672  0.756  0.328  0.244
19Sing?Sym  5.682  0.011  0.488  0.720  0.515  0.283
20Sing?Sym  5.743  0.000  0.607  0.393  0.393  0.607
