state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   3.158  1.272  0.563  0.348  0.389  0.456  0.066  0.213
2Sing?Sym   3.668  0.042  0.320  0.324  0.672  0.464  0.011  0.215
3Sing?Sym   3.756  0.085  0.598  0.350  0.090  0.433  0.317  0.221
4Sing?Sym   4.070  0.002  0.424  0.398  0.510  0.412  0.068  0.193
5Sing?Sym   4.329  0.000  0.156  0.273  0.843  0.516  0.002  0.212
6Sing?Sym   4.641  0.009  0.490  0.602  0.460  0.301  0.063  0.110
7Sing?Sym   4.675  0.000  0.626  0.409  0.313  0.041  0.061  0.549
8Sing?Sym   4.744  0.017  0.397  0.109  0.530  0.880  0.075  0.013
9Sing?Sym   4.935  0.000  0.524  0.701  0.398  0.246  0.078  0.052
10Sing?Sym  4.988  0.007  0.686  0.404  0.207  0.452  0.108  0.145
11Sing?Sym  5.069  0.000  0.592  0.743  0.342  0.138  0.066  0.119
12Sing?Sym  5.262  0.030  0.569  0.441  0.199  0.440  0.235  0.122
13Sing?Sym  5.311  0.057  0.419  0.431  0.558  0.510  0.024  0.060
14Sing?Sym  5.324  0.065  0.526  0.514  0.297  0.374  0.180  0.115
15Sing?Sym  5.359  0.000  0.576  0.477  0.022  0.011  0.403  0.512
16Sing?Sym  5.398  0.000  0.489  0.371  0.437  0.466  0.076  0.166
17Sing?Sym  5.490  0.000  0.369  0.530  0.629  0.401  0.002  0.069
18Sing?Sym  5.575  0.043  0.330  0.456  0.403  0.380  0.270  0.167
19Sing?Sym  5.644  0.086  0.403  0.363  0.570  0.574  0.031  0.068
20Sing?Sym  5.661  0.000  0.698  0.841  0.025  0.010  0.277  0.148
