state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   3.333  1.311  1.013  1.639  2.354  0.561  2.345  0.136  1.057  1.175  5.377
2Sing?Sym   3.842  0.029  1.003  1.729  2.025  0.519  1.961  0.003  1.087  1.225  6.183
3Sing?Sym   3.923  0.035  1.005  1.530  2.159  0.560  2.119  0.322  1.042  1.138  5.845
4Sing?Sym   4.249  0.002  1.001  1.633  2.284  0.690  2.111  0.017  1.700  1.902  7.097
5Sing?Sym   4.367  0.000  1.000  1.774  2.478  0.631  2.468  0.368  1.049  1.141  4.319
6Sing?Sym   4.480  0.000  1.001  1.846  1.932  0.489  1.851 -0.062  1.037  1.111  4.202
7Sing?Sym   4.720  0.001  1.012  1.571  2.177  0.353  1.863 -0.030  1.954  2.575  4.528
8Sing?Sym   4.722  0.000  1.000  2.021  2.330  0.631  2.314 -0.518  1.036  1.109  3.857
9Sing?Sym   4.836  0.000  1.000  1.489  2.112  0.530  2.109 -0.011  1.081  1.209  4.740
10Sing?Sym  4.855  0.008  1.002  1.743  1.847  0.485  1.805  0.118  1.508  1.855  6.549
11Sing?Sym  5.108  0.000  1.000  1.336  1.780  0.408  1.666 -0.249  1.165  1.334  4.895
12Sing?Sym  5.163  0.001  1.001  1.448  2.029  0.478  1.961  0.213  1.909  2.218  5.388
13Sing?Sym  5.272  0.075  1.003  1.466  2.057  0.474  2.030  0.049  1.200  1.539  5.739
14Sing?Sym  5.276  0.000  1.000  1.611  2.222  0.548  2.203  0.169  1.861  2.227  3.742
15Sing?Sym  5.283  0.000  1.000  1.597  2.193  0.543  2.179  0.115  1.879  2.153  3.721
16Sing?Sym  5.298  0.069  1.003  1.592  2.040  0.582  2.013  0.024  1.667  2.064  7.413
17Sing?Sym  5.371  0.000  1.000  1.531  2.227  0.531  2.213  0.000  1.362  1.751  4.561
18Sing?Sym  5.445  0.036  1.003  1.654  2.151  0.535  2.127  0.155  2.980  3.528  5.355
19Sing?Sym  5.532  0.000  1.000  1.368  1.852  0.423  1.786  0.039  1.140  1.324  3.978
20Sing?Sym  5.555  0.013  1.002  1.578  2.219  0.691  1.997  0.003  3.343  3.829  7.200
