state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   2.016  0.002  0.928  0.002  0.072  0.998
2Sing?Sym   2.340  0.103  0.596  0.002  0.407  1.000
3Sing?Sym   2.414  0.678  0.078  0.003  0.942  1.017
4Sing?Sym   3.200  0.000  0.001  0.001  0.999  0.999
5Sing?Sym   3.228  0.000  0.086  0.004  0.914  0.996
6Sing?Sym   3.365  0.000  0.002  0.002  1.000  1.000
7Sing?Sym   3.445  0.000  0.011  0.001  0.990  1.000
8Sing?Sym   3.456  0.000  0.000  0.001  1.000  0.999
9Sing?Sym   3.546  0.000  0.036  0.003  0.964  0.997
10Sing?Sym  3.564  0.000  0.025  0.030  0.976  0.971
11Sing?Sym  3.600  0.000  0.895  0.005  0.105  0.995
12Sing?Sym  3.603  0.019  0.131  0.007  0.871  0.995
13Sing?Sym  3.652  0.000  0.895  0.055  0.105  0.945
14Sing?Sym  3.773  0.003  0.068  0.007  0.932  0.993
15Sing?Sym  3.778  0.000  0.810  0.002  0.191  0.998
16Sing?Sym  3.782  0.033  0.011  0.002  0.990  0.999
17Sing?Sym  3.902  0.001  0.073  0.005  0.938  1.006
18Sing?Sym  3.919  0.022  0.331  0.003  0.671  0.998
19Sing?Sym  3.942  0.000  0.615  0.005  0.385  0.996
20Sing?Sym  3.996  0.000  0.659  0.053  0.341  0.947
