state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.444  0.002  0.701  0.000  0.079  0.998  0.220  0.002
2Sing?Sym   2.311  0.003  0.617  0.000  0.379  0.998  0.004  0.002
3Sing?Sym   2.386  0.935  0.009  0.006  1.010  1.013  0.003  0.004
4Sing?Sym   3.026  0.011  0.695  0.002  0.090  0.993  0.215  0.005
5Sing?Sym   3.065  0.570  0.708  0.125  0.085  0.827  0.211  0.052
6Sing?Sym   3.186  0.000  0.000  0.000  1.000  0.999  0.000  0.001
7Sing?Sym   3.222  0.001  0.672  0.000  0.166  0.998  0.162  0.002
8Sing?Sym   3.343  0.000  0.029  0.001  0.897  0.994  0.075  0.005
9Sing?Sym   3.350  0.000  0.002  0.001  0.998  0.999  0.002  0.002
10Sing?Sym  3.441  0.000  0.002  0.000  0.997  0.999  0.001  0.001
11Sing?Sym  3.442  0.000  0.018  0.002  0.978  0.997  0.005  0.002
12Sing?Sym  3.499  0.000  0.005  0.079  0.994  0.886  0.002  0.036
13Sing?Sym  3.537  0.001  0.004  0.004  0.995  0.991  0.001  0.005
14Sing?Sym  3.539  0.004  0.691  0.001  0.090  0.995  0.219  0.004
15Sing?Sym  3.626  0.000  0.045  0.003  0.864  0.992  0.091  0.005
16Sing?Sym  3.677  0.052  0.079  0.002  0.913  0.997  0.010  0.003
17Sing?Sym  3.774  0.021  0.035  0.003  0.965  0.996  0.001  0.003
18Sing?Sym  3.782  0.050  0.610  0.248  0.367  0.670  0.026  0.083
19Sing?Sym  3.835  0.230  0.431  0.207  0.487  0.741  0.090  0.060
20Sing?Sym  3.851  0.035  0.626  0.032  0.338  0.957  0.036  0.011
