state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.859  0.000  1.000  1.716  1.283  0.976  1.222  0.572  1.000  1.002 12.945
2Sing?Sym   2.403  0.853  1.022  2.001  1.009  0.005  1.004  0.001  1.051  1.158  5.198
3Sing?Sym   2.523  0.000  1.000  1.867  1.439  0.997  1.307  0.270  1.000  1.001 14.131
4Sing?Sym   3.132  0.000  1.000  2.006  1.300  0.226  1.235 -0.005  1.032  1.098  7.517
5Sing?Sym   3.204  0.000  1.000  2.345  1.371  0.725  1.273 -0.687  1.003  1.014  9.078
6Sing?Sym   3.213  0.000  1.000  2.000  1.001  0.001  1.001  0.001  1.016  1.050  6.121
7Sing?Sym   3.364  0.000  1.001  1.999  1.250  0.196  1.202  0.006  1.241  1.536  6.768
8Sing?Sym   3.377  0.000  1.000  1.978  1.711  0.437  1.419  0.049  1.208  1.452  8.686
9Sing?Sym   3.448  0.000  1.000  1.817  1.748  0.664  1.435  0.374  1.799  1.938 11.276
10Sing?Sym  3.468  0.000  1.001  1.924  1.476  0.332  1.324  0.156  1.605  1.854  8.738
11Sing?Sym  3.470  0.000  1.000  2.000  1.002  0.002  1.002  0.001  1.027  1.078  6.230
12Sing?Sym  3.547  0.043  1.000  1.754  1.446  0.900  1.391  0.568  1.122  1.300 12.135
13Sing?Sym  3.550  0.004  1.000  1.989  1.067  0.057  1.056  0.032  2.141  2.357  6.655
14Sing?Sym  3.583  0.001  1.000  2.013  1.042  0.041  1.042  0.027  1.411  1.647  5.354
15Sing?Sym  3.633  0.022  1.002  2.008  1.278  0.215  1.227 -0.004  1.455  1.725  6.513
16Sing?Sym  3.732  0.000  1.000  2.044  1.109  0.099  1.101 -0.077  1.065  1.171  6.128
17Sing?Sym  3.788  0.032  1.002  2.002  1.011  0.011  1.011 -0.001  1.639  1.834  5.675
18Sing?Sym  3.890  0.143  1.010  1.945  1.355  0.090  1.048  0.058  2.732  3.383  4.492
19Sing?Sym  3.896  0.023  1.001  2.051  1.759  0.466  1.439 -0.098  1.418  1.665  8.531
20Sing?Sym  3.939  0.019  1.000  1.711  1.298  0.967  1.249  0.578  1.001  1.006 12.449
