state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   3.020  0.001  1.000  1.505  2.069  0.682  2.250  0.030  2.003  2.018  8.293
2Sing?Sym   3.240  0.018  1.003  1.600  2.366  0.874  1.805 -0.066  2.002  2.055  9.878
3Sing?Sym   3.284  1.757  1.010  2.076  2.507  0.579  2.405  0.005  1.075  1.221  5.987
4Sing?Sym   3.416  0.232  1.016  1.095  1.111  0.093  1.100  0.047  1.302  1.598  4.397
5Sing?Sym   3.837  0.001  1.000  1.365  1.752  0.519  1.888  0.158  2.011  2.071  8.021
6Sing?Sym   4.043  0.027  1.002  2.075  2.661  0.715  2.618 -0.064  1.660  1.876  7.728
7Sing?Sym   4.079  0.005  1.000  1.180  1.290  0.118  1.092 -0.005  1.488  2.003  4.386
8Sing?Sym   4.085  0.024  1.001  2.037  2.837  0.578  2.639 -0.058  2.472  2.852  6.690
9Sing?Sym   4.203  0.023  1.001  2.103  2.659  0.760  2.561 -0.134  2.652  2.994  7.075
10Sing?Sym  4.224  0.004  1.000  1.789  1.915  0.890  1.721 -0.909  1.649  2.226 10.570
11Sing?Sym  4.355  0.096  1.008  1.461  1.880  0.578  2.100  0.104  2.162  2.451  7.870
12Sing?Sym  4.365  0.005  1.002  1.037  1.042  0.040  1.040  0.064  1.198  1.393  3.606
13Sing?Sym  4.420  0.096  1.009  1.756  2.584  0.530  2.097  0.457  2.737  3.234  6.467
14Sing?Sym  4.449  0.109  1.006  1.759  2.346  0.609  1.900  0.662  2.513  3.062  6.891
15Sing?Sym  4.497  0.001  1.000  1.504  1.945  0.742  1.578 -0.799  1.262  1.462  8.938
16Sing?Sym  4.547  0.000  1.000  2.322  1.852  0.552  1.826  0.392  1.032  1.098  4.019
17Sing?Sym  4.619  0.000  1.000  2.089  1.353  0.256  1.315 -0.044  1.014  1.049  4.541
18Sing?Sym  4.678  0.029  1.000  1.763  1.443  0.747  1.329 -1.360  1.079  1.213  7.302
19Sing?Sym  4.726  0.001  1.000  1.534  2.147  0.740  1.833  0.670  1.395  1.705  8.604
20Sing?Sym  4.772  0.036  1.005  2.225  2.763  0.756  2.469 -0.136  2.023  2.281  5.516
