state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   3.020  0.001  0.641  0.654  0.229  0.173  0.130  0.173
2Sing?Sym   3.240  0.018  0.496  0.604  0.378  0.230  0.128  0.169
3Sing?Sym   3.284  1.757  0.158  0.239  0.620  0.451  0.232  0.319
4Sing?Sym   3.416  0.232  0.975  0.952  0.010  0.009  0.031  0.055
5Sing?Sym   3.837  0.001  0.789  0.673  0.136  0.210  0.075  0.117
6Sing?Sym   4.043  0.027  0.183  0.249  0.528  0.461  0.291  0.292
7Sing?Sym   4.079  0.005  0.873  0.880  0.073  0.063  0.055  0.057
8Sing?Sym   4.085  0.024  0.225  0.304  0.484  0.385  0.292  0.312
9Sing?Sym   4.203  0.023  0.170  0.390  0.491  0.183  0.340  0.427
10Sing?Sym  4.224  0.004  0.108  0.805  0.542  0.056  0.351  0.139
11Sing?Sym  4.355  0.096  0.718  0.685  0.168  0.130  0.122  0.193
12Sing?Sym  4.365  0.005  0.999  0.965  0.001  0.006  0.002  0.032
13Sing?Sym  4.420  0.096  0.605  0.375  0.275  0.273  0.128  0.360
14Sing?Sym  4.449  0.109  0.688  0.352  0.205  0.212  0.112  0.442
15Sing?Sym  4.497  0.001  0.314  0.931  0.468  0.033  0.218  0.036
16Sing?Sym  4.547  0.000  0.064  0.009  0.746  0.464  0.190  0.526
17Sing?Sym  4.619  0.000  0.053  0.002  0.783  0.929  0.164  0.069
18Sing?Sym  4.678  0.029  0.258  0.952  0.040  0.013  0.702  0.035
19Sing?Sym  4.726  0.001  0.846  0.400  0.109  0.331  0.045  0.269
20Sing?Sym  4.772  0.036  0.176  0.237  0.358  0.373  0.470  0.395
