state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   0.071  0.001  1.089  0.982  1.581  0.174  1.238 -0.056  1.055  1.045  9.269
2Sing?Sym   0.141  0.022  2.561  1.328  1.675  0.651  1.371  0.618  1.094  0.154 12.062
3Sing?Sym   0.172  0.005  1.790  1.168  1.858  0.405  1.449  0.369  1.678  1.285  9.594
4Sing?Sym   0.192  0.001  1.230  1.157  1.984  0.511  1.423  0.441  1.556  1.741 12.302
5Sing?Sym   0.280  0.002  1.090  0.958  1.189  0.035  1.038  0.022  1.318  1.562  4.691
6Sing?Sym   0.291  0.012  1.188  1.000  1.436  0.134  1.161  0.103  1.518  1.598  9.162
7Sing?Sym   0.356  0.003  1.130  1.059  1.962  0.346  1.442  0.237  1.813  2.090 10.565
8Sing?Sym   0.505  0.000  1.009  1.046  1.443  0.214  1.215  0.212  1.090  1.221 11.034
9Sing?Sym   0.519  0.001  1.028  1.093  1.655  0.329  1.306  0.321  1.235  1.493 11.402
10Sing?Sym  0.677  0.000  1.017  0.865  1.500  0.048  1.061 -0.010  1.991  2.315  5.808
11Sing?Sym  0.682  0.000  1.019  1.251  1.565  0.722  1.185  0.709  1.108  1.219 13.472
12Sing?Sym  0.709  0.001  1.004  0.896  1.323  0.026  1.030  0.022  1.148  1.329  8.224
13Sing?Sym  0.790  0.000  1.006  0.863  1.354  0.003  1.004 -0.000  1.335  1.566  5.382
14Sing?Sym  0.984  0.000  1.004  0.906  1.259  0.015  1.017  0.001  1.219  1.493  5.259
15Sing?Sym  0.992  0.001  1.007  0.945  1.168  0.020  1.022  0.014  1.139  1.307  4.890
16Sing?Sym  1.011  0.000  1.003  0.955  1.445  0.122  1.133 -0.121  1.040  1.116  9.474
17Sing?Sym  1.049  0.006  1.005  0.960  1.146  0.026  1.027  0.015  1.138  1.324  6.045
18Sing?Sym  1.069  0.014  1.027  0.919  1.513  0.105  1.137 -0.023  1.807  2.330  6.793
19Sing?Sym  1.116  0.001  1.002  1.388  1.272  0.809  1.173  0.802  1.038  1.114 13.191
20Sing?Sym  1.144  0.013  1.088  0.975  1.141  0.038  1.041  0.018  1.038  1.030  3.770
