state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   0.071  0.001  0.830  0.891  0.135  0.074
2Sing?Sym   0.141  0.022  2.008  0.426  0.301  1.883
3Sing?Sym   0.172  0.005  1.530  0.870  0.115  0.775
4Sing?Sym   0.192  0.001  1.022  0.479  0.065  0.608
5Sing?Sym   0.280  0.002  1.011  0.987  0.010  0.035
6Sing?Sym   0.291  0.012  1.049  0.927  0.038  0.160
7Sing?Sym   0.356  0.003  0.911  0.644  0.076  0.344
8Sing?Sym   0.505  0.000  0.946  0.732  0.001  0.215
9Sing?Sym   0.519  0.001  0.948  0.618  0.005  0.335
10Sing?Sym  0.677  0.000  0.825  0.835  0.030  0.020
11Sing?Sym  0.682  0.000  0.896  0.174  0.009  0.731
12Sing?Sym  0.709  0.001  0.884  0.862  0.002  0.025
13Sing?Sym  0.790  0.000  0.865  0.865  0.002  0.002
14Sing?Sym  0.984  0.000  0.895  0.894  0.007  0.008
15Sing?Sym  0.992  0.001  0.939  0.925  0.003  0.017
16Sing?Sym  1.011  0.000  0.775  0.896  0.122  0.000
17Sing?Sym  1.049  0.006  0.947  0.932  0.006  0.021
18Sing?Sym  1.069  0.014  0.821  0.845  0.067  0.043
19Sing?Sym  1.116  0.001  0.954  0.151  0.018  0.821
20Sing?Sym  1.144  0.013  1.028  1.008  0.011  0.031
