state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   0.091  0.013  0.405  2.999  3.875  0.549  0.107  0.839
2Sing?Sym   0.158  0.000  0.105  0.124  1.046  1.015  0.027  0.039
3Sing?Sym   0.276  0.000  0.008  0.011  0.988  0.984  0.002  0.003
4Sing?Sym   0.299  0.005  0.089  0.114  1.005  0.923  0.022  0.078
5Sing?Sym   0.309  0.001  0.016  0.278  1.063  0.724  0.005  0.082
6Sing?Sym   0.396  0.001  0.009  0.506  1.018  0.386  0.004  0.138
7Sing?Sym   0.533  0.019  0.011  0.035  1.035  0.953  0.012  0.069
8Sing?Sym   0.555  0.000  0.020  0.301  0.987  0.626  0.008  0.088
9Sing?Sym   0.594  0.002  0.015  0.576  0.962  0.253  0.011  0.159
10Sing?Sym  0.608  0.003  0.010  0.074  0.997  0.872  0.011  0.072
11Sing?Sym  0.663  0.000  0.011  0.305  1.000  0.624  0.004  0.085
12Sing?Sym  0.755  0.000  0.012  0.004  0.968  0.969  0.003  0.010
13Sing?Sym  0.798  0.001  0.066  0.034  0.898  0.932  0.017  0.014
14Sing?Sym  0.840  0.005  0.003  0.010  0.975  0.920  0.001  0.049
15Sing?Sym  0.846  0.000  0.011  0.583  0.980  0.256  0.008  0.160
16Sing?Sym  1.003  0.001  0.033  0.008  0.934  0.899  0.002  0.061
17Sing?Sym  1.006  0.004  0.019  0.418  0.949  0.467  0.031  0.114
18Sing?Sym  1.046  0.001  0.002  0.086  0.975  0.874  0.005  0.023
19Sing?Sym  1.061  0.017  0.033  0.275  0.997  0.698  0.018  0.075
20Sing?Sym  1.141  0.015  0.004  0.010  0.973  0.909  0.002  0.060
