state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.797  0.299  0.096  0.818  0.739  0.045  0.168  0.140
2Sing?Sym   2.087  0.045  0.085  0.004  0.712  0.986  0.209  0.016
3Sing?Sym   2.566  0.235  0.170  0.304  0.663  0.421  0.171  0.278
4Sing?Sym   2.616  0.324  0.640  0.704  0.223  0.128  0.150  0.181
5Sing?Sym   2.733  0.000  0.183  0.699  0.628  0.063  0.189  0.238
6Sing?Sym   2.780  0.080  0.255  0.642  0.581  0.262  0.168  0.100
7Sing?Sym   2.949  0.000  0.074  0.050  0.779  0.926  0.147  0.025
8Sing?Sym   2.971  0.054  0.310  0.445  0.544  0.405  0.148  0.152
9Sing?Sym   3.051  0.000  0.061  0.001  0.794  0.988  0.144  0.011
10Sing?Sym  3.062  0.014  0.503  0.358  0.363  0.486  0.135  0.157
11Sing?Sym  3.083  0.002  0.352  0.519  0.512  0.291  0.137  0.192
12Sing?Sym  3.138  0.038  0.553  0.302  0.313  0.602  0.136  0.099
13Sing?Sym  3.307  0.000  0.672  0.775  0.204  0.012  0.124  0.214
14Sing?Sym  3.319  0.032  0.289  0.451  0.536  0.253  0.176  0.297
15Sing?Sym  3.363  0.019  0.426  0.676  0.410  0.161  0.166  0.165
16Sing?Sym  3.372  0.000  0.304  0.965  0.537  0.001  0.159  0.034
17Sing?Sym  3.431  0.023  0.598  0.445  0.266  0.291  0.137  0.265
18Sing?Sym  3.497  0.085  0.133  0.457  0.710  0.331  0.159  0.214
19Sing?Sym  3.579  0.039  0.492  0.717  0.228  0.113  0.281  0.171
20Sing?Sym  3.669  0.145  0.619  0.769  0.236  0.067  0.154  0.173
