state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym  -0.500 -0.000  1.004  2.014  1.129  0.113  1.120  0.007  1.001  1.000  4.488
2Sing?Sym   0.183  0.000  1.001  1.829  1.777  0.656  1.462 -0.365  1.000  1.001 10.658
3Sing?Sym   0.511  0.000  1.000  1.906  1.466  0.336  1.335 -0.211  1.001  1.003  8.506
4Sing?Sym   0.788  0.000  1.005  2.175  1.501  0.392  1.353  0.325  1.004  1.011  6.760
5Sing?Sym   1.103  0.000  1.000  1.917  1.646  0.424  1.414 -0.189  1.002  1.010  8.762
6Sing?Sym   1.393  0.000  1.000  1.802  1.654  0.789  1.418 -0.419  1.001  1.004 11.842
7Sing?Sym   1.409  0.017  1.026  1.981  1.288  0.221  1.237 -0.061  1.128  1.250  6.477
8Sing?Sym   1.443  0.058  1.003  1.882  1.831  0.566  1.480 -0.258  1.024  1.077  9.239
9Sing?Sym   1.599  0.000  1.000  1.986  1.965  0.749  1.519 -0.050  1.001  1.003 11.647
10Sing?Sym  1.662  0.000  1.000  1.961  1.338  0.252  1.265 -0.099  1.003  1.011  7.571
11Sing?Sym  1.810  0.020  1.008  1.997  1.742  0.450  1.457 -0.031  1.152  1.320  8.002
12Sing?Sym  1.939  0.000  1.000  1.768  1.635  0.675  1.410 -0.487  1.002  1.008 11.687
13Sing?Sym  2.015  0.000  1.003  1.650  1.340  0.784  1.267 -0.723  1.040  1.109 14.388
14Sing?Sym  2.055  0.076  1.005  1.896  1.811  0.504  1.514 -0.209  2.040  2.153  9.534
15Sing?Sym  2.075  0.102  1.014  1.911  1.798  0.477  1.506 -0.175  1.990  2.077  8.893
16Sing?Sym  2.079  0.000  1.000  2.093  1.940  0.628  1.513  0.162  1.002  1.008  9.398
17Sing?Sym  2.278  0.090  1.005  1.976  1.269  0.158  1.175 -0.007  1.469  1.855  6.073
18Sing?Sym  2.327  0.761  1.007  1.644  2.374  0.649  2.340  0.284  1.203  1.507  9.264
19Sing?Sym  2.424  0.065  1.026  1.927  1.370  0.239  1.265 -0.142  1.395  1.845  6.696
20Sing?Sym  2.492  0.001  1.000  1.534  1.048  0.992  1.047 -0.954  1.008  1.026 15.922
