state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1SingA2     3.583  0.000  0.500  0.500  0.500  0.500
2SingB1     3.635  0.000  0.500  0.500  0.500  0.500
3SingB1     4.242  0.000  0.501  0.501  0.501  0.501
4SingA2     4.284  0.000  0.500  0.500  0.500  0.500
5SingB2     7.793  0.011  0.501  0.501  0.501  0.501
6SingA1     7.851  0.001  0.500  0.500  0.500  0.500
7SingA2     7.938  0.000  0.500  0.500  0.500  0.500
8SingB1     8.010  0.047  0.500  0.500  0.500  0.500
9SingB2     8.460  0.000  0.500  0.500  0.500  0.500
10SingA1    8.488  0.000  0.500  0.500  0.500  0.500
