state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  RMSeh
-------------------------------------------------------------------------
1SingA2     3.583  0.000  1.000  1.500  2.000  0.697  1.730 -0.000  3.111
2SingB1     3.635  0.000  1.000  1.500  2.000  0.736  1.635  0.000  3.187
3SingB1     4.242  0.000  1.001  1.500  2.000  0.263  1.634 -0.000  2.090
4SingA2     4.284  0.000  1.001  1.500  2.000  0.302  1.729  0.000  2.202
5SingB2     7.793  0.011  1.001  1.500  2.000  0.956  1.091  0.000  3.531
6SingA1     7.851  0.001  1.000  1.500  2.000  0.991  1.019  0.000  3.589
7SingA2     7.938  0.000  1.000  1.500  2.000  0.736  1.636 -0.000  3.400
8SingB1     8.010  0.047  1.000  1.500  2.000  0.826  1.403  0.000  3.559
9SingB2     8.460  0.000  1.000  1.500  2.000  0.850  1.341 -0.000  3.362
10SingA1    8.488  0.000  1.000  1.500  2.000  0.877  1.274  0.000  3.411
