name,smiles string
TT,c2cc1sccc1s2
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
TT,c2cc1sccc1s2
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
TT,c2cc1sccc1s2
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
TT,c2cc1sccc1s2
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
TT,c2cc1sccc1s2
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
TT,c2cc1sccc1s2
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
TT,c2cc1sccc1s2
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
