index,smiles string
1,C=C1N(C2=CC=CC=C2O1)C
2,C=C1N(C)C2=CC=CC=C2C1(C)C
3,C=C1N(C2=CC=CC=C2S1)C
4,CC(C1=CC=CC=C1N2C)(C)C2=CC=C3C(C(C=CC=C4)=C4C3=C(C#N)C#N)=O
5,O=C(C1=CC=C2N(C)C3=CC=CC=C3S2)C4=C(C1=C(C#N)C#N)C=CC=C4
6,O=C(C(C=CC=C1)=C1C2=C(C#N)C#N)C2=CC=C3NC4=CC=CC=C4S3
7,NC1=CC=CC=C1
8,C=C1SC2=CC=CC=C2S1
9,C=C(C1=C2C(C=CC=C23)=CC=C1)N3C
10,CN1C2=CC=C3C(C4=CC=C3)=C2C(C=C4)=C1
11,C=C(C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C34)N4C
12,CC1(C)C=C(C#N)C(O1)=C(C#N)C#N
13,N#CC1=CC(C2=CC=CC=C2)(C3=CC=CC=C3)OC1=C(C#N)C#N
14,CC1(C)C=C(C#N)C(S1)=C(C#N)C#N
15,N#CC1=CC(C2=CC=CC=C2)(C3=CC=CC=C3)SC1=C(C#N)C#N
16,C12=CC=CC=C1N=CS2
17,C12=C(C=CS2)N=CS1
18,C12=C(SC=C2)N=CS1
19,N#CC(C#N)=C1C=COC=C1
20,N#CC(C#N)=C1C=CSC=C1
21,O=C1C(C2=CC=CC=C2N1C)=C(C3=C(C=CC=C3)N4C)C4=O
22,C[Si](C1=C2SC=C1)(C)C3=C2SC=C3
23,C1([Si](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C5SC=C4)=C5SC=C1
24,O=C1C=C(C#N)C(S1)=C(C#N)C#N
25,O=C(C1=CC2=C(C=C1C3=O)C4=CC=CC5=C4C2=CC=C5C#N)N3C
26,O=C(C1=C(C2=CC=CS2)C3=C(C(C4=CC=CS4)=C1C5=O)C6=CC=CC7=C6C3=CC=C7)N5C
27,C12=CC=CC=C1N=CO2
28,CC1=CN=C2N1C=CC=N2
29,O=C1C=C(C)OC2=CC=CC=C21
30,O=C1C2=CC=CC=C2C=C(C)O1
31,O=C(C=C1)SC1=C
32,C#CC1=C(F)C(F)=C(C#N)S1
33,O=CC1=CC(F)=C(C#N)O1
34,N#CC1=CC=C(SC=C2)C2=C1
35,FC(S1)=CC2=C1N=C(SC(F)=C3)C3=C2
36,O=C(O)C1=C(C#N)ON=C1C#N
37,O=C(O)C1=CON=C1
38,N#CC1=CSC2=C1C(C(C#N)=CS3)=C3S2
39,O=C(C1=CC=CS1)C2=COC=C2
40,C1=CN=CN=C1
41,C=CC1=NC=NC=C1
42,O=C(C1=CC=CS1)C2=COC=C2
43,O=C1NC2=C(C=CC=C2)C1=C(S3)C=CC3=C4SC(C=C4)=C5C(NC6=C5C=CC=C6)=O
44,FC(S1)=C(F)C2=C1N=C(SC=C3)C3=C2
45,O=CC1=CC=NO1
46,O=C(N1C=NC=C1)N2C=CN=C2
47,O=CC1=COC(C2=CC(SC=C3)=C3S2)=N1
48,O=CC1=COC=N1
49,N#CC1=CN=CS1
50,O=C(O[H])C1=CSC=C1
51,N#CC1=CSC(C#N)=C1
52,O=C1NC2=CC=CC=C2C=C1C#N
53,O=CC1=CC=CC=C1[N+]([O-])=O
54,O=C(NC1=O)C2=CC=C3C4=C(C5=C6C3=CC=C7C6=C(C(NC7=O)=O)C=C5S8)C8=CC1=C42
55,[H]C(F)(F)F
56,[H]C(O)=O
57,[H]C#N
58,O=C1N(C)C(C(C1=C2)=CC3=C2C4=C5C(C=CC=C53)=CC=C4)=O
59,O=C(N(C1=O)C)C2=CC=C3C4=C(C(N(C3=O)C)=O)C=CC1=C42
60,FC1=NC2C=CC=CC2N=C1F
61,FC1=CC2=NSN=C2C=C1
62,FC1=C(F)C=C(F)C(F)=C1
63,O=CC(S1)=CC2=C1C3=CC(S4)=C(C=C3S2)C5=C4C=C(C=O)S5
64,O=C1C2=CSC=C2C(C3=C(C(F)(F)F)SC(C(F)(F)F)=C31)=O
65,C12=CC=CC3=C1N(C=C3)C4=C(C=CC=C4)S2
66,C(C1=CC=CC=C1)(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4
67,O=C(C(C=C1)=CC=C1C=CC2=CC=C(C(O)=O)C=C2)O
68,FC(C(F)=C(F)C(F)=C1F)=C1C=CC2=C(F)C(F)=C(F)C(F)=C2F
69,FC1=CSC2=C1SC3=C2SC=C3F
70,C1=CN=CN=N1
71,C[Si]1(C=C(OCCO2)C2=C1)C
72,O=C(C(SC1=C(C#N)C#N)=C)N1C
73,O=C1NC(C2=CC=CC=C21)=O
74,S=C(SC1=C)N(C1=O)C
75,FC1=C(F)C=C(F)C(F)=C1F
76,FC1=C(C=C(C(F)=C1C(O)=O)F)F
77,N1=CN=CN=C1
78,C12=CC=CC=C1NC=N2
79,O=C1NC=CC=C1
80,N1=CN=CC=C1
81,O=C(C1=C2C(C(C)=CC=C23)=CC=C1)NC3=O
82,O=C1C(C(N(C)C(N1C)=O)=O)=C
83,C12=NSN=C1OCCO2
84,O=C1C(C2=C(C3=CC=C(C4=C(F)C(F)=C([N+]#[C-])C(F)=C4F)S3)N1)=C(C5=CC=C(C6=C(F)C(F)=C(C#N)C(F)=C6F)S5)NC2=O
85,O=C(NC1=O)C2=CC([He])=C3C4=C(C(NC3=O)=O)C=C([He])C1=C42
86,C12=C[SiH2]C=C1OCCO2
87,O=CC1=CC=CS1
88,CN1C=NC(C#N)=C1C#N
89,C=C1C2C(C(C(C=CC=C3)=C3N2C)=C(C#N)C#N)N(C4=CC=CC=C41)C
90,C12=CSC=C1SCCO2
91,C12=CSC=C1SCCS2
92,C=C1SC2=CC=CC=C2S1
93,O=C(C(C=CC=C1)=C1C2=C(C#N)C#N)C2=CC=C3NC4=CC=CC=C4O3
94,C12=CSC=C1SCCO2
95,[He]C1=C2C(SCCS2)=C([He])S1
96,N#CC(C#N)=C1C2=C(SC=C2)C3=C1C=CS3
97,C1(C(SC=C2)=C2C34OCCO4)=C3C=CS1
98,C1(C(SC=C2)=C2C34SCCS4)=C3C=CS1
99,C12=CSC=C1N=CC=N2
100,C12=CSC=C1C=C3C(N=S=N3)=C2
101,C1=CC=CS1
102,C12=NSN=C1C=CC=C2
103,O=C1N(C)C=C2C(N(C)C=C21)=O
104,C1(C=CS2)=C2C=CS1
105,C1(C=CS2)=C2C(SC=C3)=C3C4=C1SC=C4
106,CC1=C2C=CSC2=C(C)C3=C1SC=C3
107,COC1=C2C(C=CS2)=C(OC)C3=C1C=CS3
108,FC1=C(C(OC)=O)SC2=CSC=C12
109,O=C(C1=CC2=CSC=C2S1)OC
110,CC1(C2=C(C3=CC4=C(C=C13)C5=C(C6=C(S5)C=CS6)C4(C)C)SC7=C2SC=C7)C
111,O=C1C2=CC=CC=C2/C(C1)=C(C#N)\C#N
112,O=C(C/1)C2=CC(F)=C(F)C=C2C1=C(C#N)\C#N
113,COC1=CC=C(OC)C=C1
114,C1(CC2=C3C=C4CC5=CC=CC=C5C4=C2)=C3C=CC=C1
115,C12=CC=CC=C1C3=C(C=CC=C3)N2
116,FC1=CC2=NSN=C2C=C1F
117,O=C1C2=C(SC(C)=C2C(C3=CSC=C31)=O)C
118,CC1(C)C(C=CS2)=C2C3=C1C=CS3
119,C12=C(C=CC=C2)C3=C(C=CC=C3)C1
120,O=C1C2=CSC=C2C(N1C)=O
121,CC1(C)C(C=C2C(C(C3=C2C=C4C(C=CS4)=C3)(C)C)=C5)=C5C6=C1C=C7C=CSC7=C6
122,C1(N=CC=N2)=C2C=CC=C1
123,CC1=CSC2=C1SC3=C2N(C)C4=C3C5=NSN=C5C6=C4N(C)C7=C6SC8=C7SC=C8C
124,O=C(C1=CC(Cl)=C(C=C1/2)Cl)CC2=C(C#N)/C#N
125,CN1C(C=CS2)=C2C3=C1C(N(C4=C5SC=C4)C)=C5C6=NSN=C36
126,CC1(C)C(C=C2C(C(C3=C2SC=C3)(C)C)=C4)=C4C5=C1C=CS5
127,O=C1C2=CC(C)=CC=C2/C(C1)=C(C#N)/C#N
128,O=C1C2=CC=C(C)C=C2/C(C1)=C(C#N)/C#N
129,ClC1=CSC=C1
130,FC1=CSC=C1
131,C12=CC=CC=C1N=C(C3=CC=CC=C3)C(C4=CC=CC=C4)=N2
132,C12=NNN=C1C=CC=C2
133,C=C(C1=O)C2=CC=C3C4=C(C(N(C)C3=O)=O)C=CC1=C42
134,CC1(C2=CC3=C(C=C2C4=C1C=CS4)C(C)(C)C5=C3SC6=C5SC7=C6C(C)(C)C8=C7C=C9C(C%10=C(C9(C)C)C=CS%10)=C8)C
135,CN1C(C=CS2)=C2C(S3)=C1C(S4)=C3C(N5C)=C4C6=C5C=CS6
136,CC1(C2=C(C3=C(C=C4C5=C(C(C)=CC4=C31)C6=C(C5(C)C)C=CS6)C)SC=C2)C
137,CC1(C2=C(C3=C1C4=CC5=CC=C(C6=C(C7(C)C)C=CS6)C7=C5C=C4C=C3)SC=C2)C
138,C1(C=CS2)=C2C3=C(C1)C=C4C5=CC(CC6=C7C=C(CC8=C9SC=C8)C9=C6)=C7C=C5CC4=C3
139,CC1(C)C(C2=C(C3=C(N2)C=CS3)S4)=C4C5=CC6=C(C7=C(C6(C)C)C8=C(C9=C(N8)C=CS9)S7)C=C51
140,O=C1C2=CC(Cl)=C(Br)C=C2/C(C1)=C(C#N)\C#N
141,O=C1C2=CC(Br)=C(Cl)C=C2/C(C1)=C(C#N)\C#N
142,CC1(C)C(C=CS2)=C2C3=C1C4=CC([Se]C5=C6C(C)(C)C7=C5SC=C7)=C6C=C4[Se]3
143,N#C/C(C#N)=C(C1=CC(OC)=C(OC)C=C12)/CC2=O
144,COC1=CSC=C1
145,N#C/C(C#N)=C(C1=CSC(C)=C12)/CC2=O
146,N#C/C(C#N)=C(C1=CSC(Cl)=C12)/CC2=O
147,O=C(N(C)C(N1C)=S)CC1=O
148,N#C/C(C#N)=C(C1=C2C3=CC=CC=C3S1)/CC2=O
149,CC1(C)C(C2=C(C=CS2)S3)=C3C4=C1C5=C(C6=C(S5)C7=C(C6(C)C)C8=C(C=CS8)S7)S4
150,CC1(C)C(C=C2C(N(C)C3=C2C=C4C(C)(C)C(C5=C(C=CS5)S6)=C6C4=C3)=C7)=C7C8=C1C(SC=C9)=C9S8
151,CC1(C)C(C2=C(C=C[Se]2)S3)=C3C4=CC5=C(C6=C(C5(C)C)C7=C(C=C[Se]7)S6)C=C41
152,FC1=CC(N=CC(OC)=N2)=C2C=C1F
153,FC1=CC2=NSN=C2C(F)=C1F
154,N#CC1=CC2=NSN=C2C(C#N)=C1C#N
155,N#C/C(C#N)=C/C#N
156,O=C([N]/1)CSC1=C(C#N)\C#N
157,C=C(C#N)C#N
158,CC1(C)C(C=C2C(C(C)(C3=CC4=C(C=C32)C(C)(C)C5=C4SC=C5)C)=C6)=C6C7=C1C=CS7
159,C12=C(C3=CC4=C(C=C3C2)C5=CC6=C(C7=C(C6)C=C8C(SC=C9)=C9CC8=C7)C=C5C4)SC=C1
160,CC1=CSC2=C1SC3=C2[N](C)C5=C3C4=N[N](N=C4C6=C5[N](C)C7=C6SC8=C7SC=C8C)C
161,CC1=CSC2=C1SC3=C2[N](C)C4=C3C8C(C5=C4[N](C)C6=C5SC7=C6SC=C7C)N=C(C(=N8)C)C
